Character,Chinese Subtitle,English Translation
Hundred-Eyed Daoist Master,也算功德一件,I should reward you for that.
Hundred-Eyed Daoist Master,但我借你的东西,"But the thing I gave you,"
Hundred-Eyed Daoist Master,得先还回来！,now I must have it back!
Hundred-Eyed Daoist Master,尔等小辈，如何能明白我的苦心,You girls are far too young to comprehend my design.
Hundred-Eyed Daoist Master,只要再吞噬掉天命人的其余根器,"This, along with those relics inside him,"
Hundred-Eyed Daoist Master,我便可不再受昆仑摆布,shall free me of Kunlun's reign.
Hundred-Eyed Daoist Master,师妹，你的仇，我自然会报,"Rest assured, darling. I'll avenge you..."
Hundred-Eyed Daoist Master,你苦了一辈子，安心去罢,"Now, let go of your misery and rest in peace."
Hundred-Eyed Daoist Master,师祖下来救我……,"Come down, Grandmaster. I need you..."
The Second Sister,母亲！,Mother! 
Violet Spider,你还是和那时一样……,You haven't changed a bit...
Violet Spider,笨啊……,You fool...
The Second Sister,母亲！母亲！,Mother! Mother!
Commander Beetle,来取我性命？,You're after my life?
Commander Beetle,好！,Good!
Commander Beetle,不活了，出不去！,I'd rather die! There's no way out!
Commander Beetle,别愣着，速速上前，了结我罢,No more delays. Come close and finish me!
Commander Beetle,此洞无法逃脱，求你，杀了我,"There's no leaving this cave. Please, end me now."
Commander Beetle,终于，摆脱了……,At last... I am free....
Venom Daoist,一窍通，百窍通，今番也该换我飞升了,"Know thyself, know thy foe. In this way, I may meet my brother's wish."
Venom Daoist,修炼多日，八手功成,"Days of practice, eight arms of mightiness!"
Venom Daoist,你，终于来了,You're here at last.
Venom Daoist,天命人,The Destined One.
Venom Daoist,郎君有令，先与我试试身手,"By my brother's words, I will first test your worth."
Venom Daoist,你这狂贼休要得意,"Hold your smirk, you audacious monkey!"
Venom Daoist,待我堪破神机，再来与你讨账！,We'll settle our scores when I reach my full mastery!
Venom Daoist,我舍身入卵，为了什么？,I stepped into the sack for nothing but your sake!
Venom Daoist,你不谢我倒罢了，还断了我的手,"I'd appreciate a ""thank you"", but you gave me torn arms!"
Venom Daoist,就只好砍了你的，与我作赔！,"Now, in compensation, I'll claim yours!"
Venom Daoist,明白了……入卵飞升？,I see now...There's never ascension from those sacks.
Venom Daoist,无用的肢节，去了！,"Worthless limbs, be gone!"
Venom Daoist,是我上了那老道士的当，刚才的赌斗不作数,That old Daoist fooled me. My challenge was a delusion! Forget it.
Venom Daoist,想知如何克那魔君，就与我堂堂正正打一场！,Face me in a fair fight. You shall learn to best that corruption.
Venom Daoist,那根针……,Find the needle...
Venom Daoist,去紫云山找……,On Purple Cloud Mountain...
Snake Lady,夫君啊夫君，只怪奴家没有本事，无法与你报仇,"Husband, oh dear husband, my powerlessness grieves me so."
Snake Lady,只能在此哭告几声，望哪个过山的好心人，替我寻回你的尸首,"All I can do is weep here, hoping that a kind passer-by might find your remains."
Snake Lady,小师傅，妾身失仪了,"Your master, please forgive my impropriety."
Snake Lady,我本是个未亡人，来此祭悼亡夫，你莫怪罪,"I am but a widow, here to mourn my late husband. Show some kindness and excuse my manners."
Snake Lady,我与夫君本住在山顶的庄子里,We lived in peace in our mountaintop home.
Snake Lady,忽地一日，不知哪处杀来的一伙虫妖，定要强占此地,"But out of nowhere, wicked insects swarmed the place."
Snake Lady,庄子里人死的死，逃的逃、独留了我一个……,They occupied our village. I was the lone survivor...
Snake Lady,我原想回那庄子里寻些亡夫的遗物,"I intended to retrieve my late husband's keepsakes,"
Snake Lady,可那伙虫妖中有个领头的，号毒敌大王,"but the guais' leader, the Scorpionlord,"
Snake Lady,他的倒马毒甚是厉害，现下我一点成算也没了……,has discouraged all my attempts with his Deathsting...
Snake Lady,你也要去后头的山里？,"Young master, are you heading up the mountain?"
Snake Lady,那林间俱是些放毒的妖魔，你若擅入，必是有去无回,"Venomous yaoguais have infested the forest ahead. Take caution, or you may never make it back alive."
Snake Lady,切记多备些解毒的草药，莫要逞强……,"Remember to carry enough herbs with you, in case you find yourself poisoned."
The Sorpionlord,今朝有酒今朝醉，莫管门前是与非……,"In today's wine, I steep; let outside quarrels keep..."
The Sorpionlord,晦气，晦气啊！,"Woe, woe is me!"
The Sorpionlord,那等天克我族的祸害，不乘机痛快杀了，还偏让老子这里护着,"The chance to kill that bane of our kind is there! Yet here I am, forced to protect it!"
The Sorpionlord,走走走，别碍着我喝闷酒,Get lost! Don't disturb my drink.
The Sorpionlord,看你那副痨病鬼的模样，爷爷甩两钩子，你就死了，留着性命不好吗?,"How about a quick death with my stinger, you taut-faced monkey? Now leave while you can!"
The Sorpionlord,你别在这里晃荡，若是碰坏了老子的酒坛，有你好看,"Quit your dawdling, will you? One scratch on my jars, just one, and you'll be a dead monkey!"
The Sorpionlord,大胆！,The nerve!
The Sorpionlord,你这毛怪，我意欲放你，你却定要与我为难，自寻死路!,"You fur face! I meant to let you pass, but you chose to ruin my day! Now, face your doom!"
Daoist Mi,此等隐僻之处，许久未见过生人了,It's been long since any soul has trodden these hidden bounds.
Daoist Mi,小居士，你尖嘴缩腮，肌瘦面黄,"Hail, young master. Your face is gaunt, complexion sallow."
Daoist Mi,一副痨病鬼模样，莫不是也中了虫毒？,Both remind me of the venom's touch. Has the worm also beset you?
Daoist Mi,这谷内生有一种异虫，名琴螂,An oddity thrives here—the Amourworm.
Daoist Mi,生食其卵，可功力大增,Consuming its eggs grants great power.
Daoist Mi,只是那幼虫一旦孵化，便将五脏六腑啃食殆尽，空留一具不死的躯壳,"Yet once the larvae hatch, they devour your insides, leaving an undying husk."
Daoist Mi,我这些师兄师弟，各个都不信邪，贪功冒进，见着便吃,"My fellow disciples, hungry for power, consumed those eggs."
Daoist Mi,如今……多半药石无医了,And now... most are beyond remedy.
Daoist Mi,小居士，你若有心，便代我了结他们,"Young master, if you will, end their suffering in my stead."
Daoist Mi,同门一场，我下不去手,They were my fellows. I can't.
Daoist Mi,他们的尸身内，或还存有完好的新卵,Their lifeless bodies might still bear eggs unhatched.
Daoist Mi,顺道寻来给我，我也好找出破解之法,"Bring those eggs to me, and perhaps I can find a cure."
Daoist Mi,好！好！好！正是它,Splendid! This is it!
Daoist Mi,这般妖物，诡状异形，我得带回观内好生琢磨一番,"Vile and evil it is, hence I must bring it back for thorough study."
Daoist Mi,小居士，你我相识一场，也是难得,"Young master, in our brief acquaintance you were kind enough to do me a favor."
Daoist Mi,不如再帮我一回，将猴头留下，我好与师父交差,Why not extend your kindness by leaving your head with me? That would please my master greatly!
Daoist Mi,这般能耐……正好正好,A strong foe... Just what I need.
Daoist Mi,由你来做我锐变飞升的头份血食，再好不过,You shall be my initial feast to power my metamorphosis ascension.
Snake Lady,这些凡夫俗子，不自量力,These impudent mortals have overreached themselves.
Snake Lady,此番下场，都是咎由自取,Their demise was of their own creation.
Snake Lady,你不一样，这天地间的毒物，轻易要不了你的性命,But you - you are special. What poisoned them only strengthens you.
Snake Lady,这东西好生收着，善加运用，妙处无穷,Keep it close and wield it wisely. You'll see its potential.
Snake Lady,快去救他罢，困在那里，想必生不如死,"Go, release him. Being trapped there is a torment worse than death."
Snake Lady,从小看他长大，我下不去手……,I've watched him grow up; I cannot bring myself to do it...
Snake Lady,这些年未得相见，你竟被他们害成了这副模样,"All these years apart, and they've marred you like this."
Snake Lady,我自黎山而来，在此调查谷中之事,I journeyed from Mount Li to delve into the mysteries of this valley.
Snake Lady,我并非有意瞒你，确实有些难处,I didn't mean to hold this back from you. It was because I had to.
Snake Lady,我同他母亲相识一场，下不去手，这才引你来此,I stayed my hand for my ties to his mother. That's why I called upon you.
Snake Lady,我道此物早已落入那多目怪手中，竟被你寻得了,But how did you get this? I thought it was with the Hundred-Eyed Guai.
Snake Lady,或许这就是机缘罢,This...may well be the design of destiny itself.
Snake Lady,既然如此，我便帮你将此物回复神力，权作我的答谢之意了,I shall help you and restore its power. Consider this as my token of gratitude.
Snake Lady,不过是几缕天上垂下的丝线,A few strings dangling from the sky.
Snake Lady,连它通向何处，是福是祸也不知道,No one knows whether they lead to weal or woe.
Snake Lady,为何……都争着往上爬呢？,Why does everyone vie to scale them?
Crane Immortal,住手，且饶他一命,Stop! Spare his life.
Crane Immortal,你这泼猴，都第几世了，还是这般不通人情,"Foul monkey. No matter how many times you reincarnate, you're still blind to the ways of this world."
Crane Immortal,自己莽撞闯祸，搅了天上的买卖也就罢了,"Now, in your folly, you've hindered the dealings of the Court."
Crane Immortal,还捎上个自不量力的小女娃,"But above that, you've given a girl who knows no limits a false hope."
Crane Immortal,你放心，我定会将她好生炼成颗金丹，替你收着,I shall transform her into a mighty golden pill and keep it safe for you.
Crane Immortal,你若下辈子还要闹腾，记得来天上取,"Think about her, won't you? Should you feel like stirring trouble in your next life."
Zhu Bajie,老猪当年总督天河，掌管八万水兵大众,"Time was, I guarded the Celestial River, with my boys eighty thousand strong."
Zhu Bajie,这些个阴兵鬼卒也敢拦路？,And the puny revenants dare to impede me?
Zhu Bajie,若不是靠我神妙变化，你今日准交代在这了,That grand transformation of mine was the only reason you're still standing here.
Zhu Bajie,给叔叔磕个响头罢？,"A proper kneel to show gratitude would be appropriate, no?"
Zhu Bajie,哼，吃过一回亏，再无第二回！,"Hmph. Fooled me once, never again!"
Zhu Bajie,这等撒诈捣虚之徒，不足为惧,Deceptive tactics like this pose no threat.
Zhu Bajie,我先过去探个实信，你小子速速跟上,"I'll go size them up first. Keep pace, boy!"
Pale-Axe Stalwart,竟是你这猴头……,"Oh, lad, it can't be you!"
Pale-Axe Stalwart,刚刚与那些阴兵正打杀着，不知为何昏了神……,I thought you were one of them. What happened to me...
Pale-Axe Stalwart,吾乃牛魔王麾下先锋，还好未伤你性命！,The vanguard of the Bull King is relieved you're unharmed.
Pale-Axe Stalwart,饶你，饶你！,"Well, consider yourself lucky!"
Pale-Axe Stalwart,你的事我早有耳闻,I knew of you long ago.
Pale-Axe Stalwart,你要寻的东西，老大王定然知道,"The thing you seek, the king must know about it."
Pale-Axe Stalwart,如今山里生了妖孽，不知哪里冒出这些个阴兵,"Out of nowhere, the whole mountain was infested with those stinking corpses."
Pale-Axe Stalwart,上山的关隘也被几辆棺材车拦住，冒着邪火烧老子……,"Some coffin carts blocked all the passes up, burning everything in their path."
Pale-Axe Stalwart,我想你有些溜撒，寻个法儿，把它们都拆了，如何？,"You seem clever. How about you find a way to destroy them, eh?"
Pale-Axe Stalwart,棺材车又叫五行车，是大王的孩儿炼化出来的异物，厉害得很,"They’re called ""Five Element Carts”, an evil and powerful invention of the king's son."
Pale-Axe Stalwart,那车儿怕不只是阻止我等上山,I'm afraid they are not only guarding the passes.
Pale-Axe Stalwart,我觉得其中定有蹊跷！,"Trust me, there's more to it!"
Pale-Axe Stalwart,眼下老子还得守住山门，这火焰山乱成一团，没了我可不行哩,Got to hold my ground at the entrance for a while. Can't imagine the chaos without me!
Pale-Axe Stalwart,老子往这一站……,I tolerate no evil under my nose...
Pale-Axe Stalwart,谁敢来！,Neither does my axe!
Pale-Axe Stalwart,再来几个阴兵让老子杀杀才痛快！,Bring me more revenants so I can chop them up!
Pale-Axe Stalwart,听着！,Heed my words!
Pale-Axe Stalwart,红孩儿出动五行车儿，行的是障眼法,The Red Boy's carts are nothing more than a distraction.
Pale-Axe Stalwart,得亏老子聪明！,Thinks he can outwit me!
Pale-Axe Stalwart,呸！小杂种！,Bah! That brat!
Pale-Axe Stalwart,你速速上山，我倒要看看他葫芦里卖的什么药,Make haste and head up the mountain. We must figure out what he's planning.
Pale-Axe Stalwart,杀了个爽！,What a great fight!
Pale-Axe Stalwart,瞧见没，老子大斧一挥……,You see how l swung my axe?
Pale-Axe Stalwart,那个不孝子不知从哪听来些鬼话，竟在火焰山弄出这么大动静,"Someone fed that unruly boy a load of nonsense, and now he's running amok."
Pale-Axe Stalwart,老大王为何任其摆布？,Why doesn't the king take action?
Pale-Axe Stalwart,凭他的本事，十个红孩儿也不是对手！,"With his might, he could take down ten Red Boys!"
Pale-Axe Stalwart,老大王远远瞧着，身旁既不见坐骑，更不见混铁棍……,"I can see the king from here, stripped of his mount and weapon."
Pale-Axe Stalwart,这其中到底有何缘由……火焰山究竟还有什么……,I wonder what's behind all this... What else is hidden in this mountain?
Pale-Axe Stalwart,看不明白！看不明白！,I feel blind! Blind!
Pale-Axe Stalwart,得先找到璧水金晴兽才好,We should find the king's mount first...
Pale-Axe Stalwart,璧水金晴兽是老大王的心爱坐骑，如同手足弟兄，怎会不见了？,The Bishui Beast is treasured by the king as his own kin. How could it simply vanish?
Pale-Axe Stalwart,牛魔王仁义无双,My king... He treated me well...
Pale-Axe Stalwart,侍奉他我心甘情愿,"To die for him, I would not regret it."
Pale-Axe Stalwart,唯独，辜负了大哥,But I've failed Brother.
Pale-Axe Stalwart,他交给我的差事办砸了,Failing his mission is what l regret...
Pale-Axe Stalwart,为了那孽畜，老大王定是做了什么蠢事,My king must've done something reckless for that darn boy.
Pale-Axe Stalwart,这个秘密，恐怕都在那扇门后面,"The truth, I wager, lies beyond that door."
Pale-Axe Stalwart,那小小鬼车，不在话下,That accursed cart was no match for me.
Pale-Axe Stalwart,老子是故意让它几手！,"I... I went easy on it, that's all!"
Pale-Axe Stalwart,你是个顶好的猴头，但千万……,Quite a good lad you are. But remember...
Pale-Axe Stalwart,千万不要舍本……,don't be swayed...
Pale-Axe Stalwart,逐末……,Stay true...
Pingping (Red Boy),谁来救救我啊！,Somebody help!
Pingping (Red Boy),救人，小师父救人呐！救人！,"Help! Help me, young master!"
Pingping (Red Boy),猴哥哥，是你！,"It's you, kind monkey!"
Pingping (Red Boy),救我！猴哥哥救我啊！,"Help me! Help me, please!"
Pingping (Red Boy),山中生了变故，只有我逃了出来,"Things went south in the mountain, and I barely escaped."
Pingping (Red Boy),不想下山路上，又被妖人擒住,"But on my way down, guais captured me."
Pingping (Red Boy),在这儿吊了三日三夜……,I've been kept here for three days...
Pingping (Red Boy),不知哪世修来的缘法，今生得遇好哥哥,But now my luck has returned. My savior appeared here right in front of me!
Pingping (Red Boy),若肯舍大慈悲，救我一家老小,Should you extend your mercy to save my family.
Pingping (Red Boy),就算典身卖命，也要酬谢大恩,I'll repay your kindness at any cost.
Quick as Fire,大王说的没错,Master got it right.
Quick as Fire,这小娘儿叫唤起来果然勾人,The lass surely knows how to ask for help.
Pingping (Red Boy),这声音？,"Oh, no..."
Pingping (Red Boy),是他们……,It's them.
Pingping (Red Boy),抓我的人回来了！,My captors are back!
Pingping (Red Boy),哥哥快点救我！,Please don't leave me!
Fast as Wind,嘿嘿嘿，好个愿者上钩,"Heh-heh, an easy catch!"
Fast as Wind,现在怎么办？,And what now?
Fast as Wind,嗯嘿嘿，通通烧死，烧个皮焦肉烂！,"Heh-heh, burn them all to cinders! Bum them bur them!"
Zhu Bajie,贤侄好风流,"Quite the charmer, aren't you boy!"
Zhu Bajie,比老猪更怜香惜玉,But these eyes have seen prettier disguises.
Zhu Bajie,妖精！,Yaoguai!
Zhu Bajie,姓甚名谁，老实说来！,"Your true face, out with it!"
Zhu Bajie,若有半句编谎,"If a single lie slips,"
Zhu Bajie,叔叔的钉钯可不长眼！,my rake shall strike true!
Pingping (Red Boy),好险好险，多谢恩人搭救,That was so close! Thank you for saving me!
Pingping (Red Boy),我是大力王的女儿，名叫萍萍……,"I am the Bull King's daughter, Pingping..."
Zhu Bajie,胡柴！,Nonsense!
Zhu Bajie,牛魔王何来女儿,The Bull has no daughter!
Zhu Bajie,哄骗我老猪，讨打！,"Dare to fool me, scoundrel?!"
Pingping (Red Boy),我……记得你,I... I know who you are!
Pingping (Red Boy),我母亲玉面公主……,My mother is Princess Fair Fox.
Pingping (Red Boy),就是被你所杀！,You killed her!
Pingping (Red Boy),母亲死后，我便一直跟着父亲生活,"After my mother died, I've been living with my father."
Pingping (Red Boy),铁扇公主心善，认我做了养女,"His wife, Princess Rakshasi, took me in as her own."
Pingping (Red Boy),后来……,Later...
Pingping (Red Boy),哥哥从南海学成回来，我们一家团聚,"Brother came back from Bodhisattva Guanyin, and we reunited."
Pingping (Red Boy),终于过上安宁日子,We had some peaceful days.
Pingping (Red Boy),哥哥一向孝顺,"My brother was kind,"
Pingping (Red Boy),对我也甚是关照,to me and to our parents.
Pingping (Red Boy),可是不知怎的，不久前他忽然性情大变,"But somehow, not long ago, he suddenly changed."
Pingping (Red Boy),他悄悄招了火云洞的旧部过来,"He secretly summoned his old troops for a coup,"
Pingping (Red Boy),先是囚了父亲，又困住母亲,"imprisoned Father, kept Mother under strict watch."
Pingping (Red Boy),我……我实在没有法子了,I... I had nowhere else to turn.
Pingping (Red Boy),才跑出来搬救兵,I had to go for help.
Pingping (Red Boy),可可的一出山口，就撞见了哥哥的手下……,"But barely after leaving the place, his minions fell upon me..."
Zhu Bajie,那牛魔王神通无穷,The Bull King's might is known.
Zhu Bajie,我跟师兄两人才斗他不过,"Even together, Wukong and I couldn't rival him."
Zhu Bajie,铁扇仙更有灵宝护身,Rakshasi's Plantain Fan is also formidable.
Zhu Bajie,怎么到了你这女怪嘴里，说囚就囚了？,And you want me to believe that they were subdued by a kid?
Pingping (Red Boy),谁能料到自己儿子反目成仇,Subdued by their son?
Pingping (Red Boy),做父母的，谁又真的狠心对亲生孩子动手？,"Who else could make them put their guard down? Really, with soft hearts, they could never harm him."
Zhu Bajie,呆子，这小狐狸哄你玩呢！,You idiot! This fox is fooling you!
Pingping (Red Boy),你们看看这里……,Look at this place.
Pingping (Red Boy),若不是哥哥的三昧真火，又怎会落得如此凄惨！,Only my brother's Samadhi Fire could wreak such havoc!
Pingping (Red Boy),不好！,Oh no!
Pingping (Red Boy),父亲性命顷刻即休，请猴哥哥务必助我一家渡此劫难……,"My father is dying. Please, kind monkey, help me and my family...."
Zhu Bajie,火焰山极凶极险,"A perilous place, this is."
Zhu Bajie,这只蟭蟟虫儿你却收好,Keep this cicada safe with you.
Zhu Bajie,到时自有用处,It'll come in handy.
Zhu Bajie,这声音耳熟得很,That's a voice I know well.
Zhu Bajie,老猪我去探探便知,I'll go ahead and take a look.
Pingping (Red Boy),来不及了,No time to lose now.
Pingping (Red Boy),猴哥哥，我在前面带路,Follow me.
Pingping (Red Boy),快来！,This way!
Pingping (Red Boy),适才那位猪长老，跟你说了什么悄悄话？,What secrets did Master Pig whisper to you just now?
Pingping (Red Boy),我且不计较从前血债，他倒好，竟还有如此大的敌意……,"I've let go of our blood feud, but he still holds so much hostility..."
Pingping (Red Boy),这山里山外，到处都是哥哥的手下,My brother's minions are everywhere.
Pingping (Red Boy),猴哥哥务必跟紧我,"Stay close to me, kind monkey."
Pingping (Red Boy),从前，哥哥常与我在这山间玩耍,Brother and I used to play around there.
Pingping (Red Boy),那六健将还会逗我们开心，好生快活,The Valiant Six had their ways of amusing us. What fun we had together.
Pingping (Red Boy),此处有洞能过，我先行，猴哥哥径自往前出去,"I'll get through this hole, and you can pass by that crack ahead."
Pingping (Red Boy),两只脚比不过四只脚,My paws beat your feet!
Pingping (Red Boy),是父亲的声音……他就在那儿！,That's Father... He's right there.
Pingping (Red Boy),哥哥的三昧真火实在厉害，上山的路，都已封死了……,My brother's Samadhi fire has obstructed all paths uphill.
Pingping (Red Boy),要灭此火，须得用到母亲的芭蕉扇……可是母亲她……,"To quench it, Mother's Plantain Fan is a must... But she'd never..."
Pingping (Red Boy),从这里跳下，有条密道通往母亲的寝宫,"Down this cliff, there is a secret passage to her palace."
Pingping (Red Boy),她应该还在里面,She should be there.
Pingping (Red Boy),母亲一向溺爱哥哥，怎肯轻易交出扇子……,But she'd never give you the fan to be used against her precious son...
Pingping (Red Boy),我想起来！,Got it!
Pingping (Red Boy),旁边不远的地界，另有一位高人居住，据说以前也是母亲的故友,"Quite nearby, there is a deity we can turn to - one said to be Mother's old friend."
Pingping (Red Boy),如能再请他出山，与我们一同劝说母亲，借出芭蕉扇的机会，又能再大几分！,"If we could persuade him to come along, maybe he could talk Mother into giving us the fan."
Pingping (Red Boy),我速去速回，猴哥哥自己当心啊！,I'll go find him. Be careful out here!
"Mist Cloud, Cloud Mist",猴子，棍子，死的，活的，大王，都要！,"Wanted monkey, wanted staff. Wanted, dead, or alive!"
"Mist Cloud, Cloud Mist",站住！大王有令，擅闯娘娘禁宫者，杀！,Halt! Intruders...to the Princess' palace face death.
Zhu Bajie,这只蟭蟟虫儿你却收好,Keep this cicada safe with you.
Zhu Bajie,到时自有用处,It'll come in handy.
Princess Rakshasi (Zhu Bajie),哥哥长，哥哥短，不好生陪着你那哥哥，来这里作甚？,"Enough about your brother! If you care for him so much, why not go back to him and give me some peace?"
Pingping (Red Boy),孩儿想……想借母亲的芭蕉扇去救父王,"If you won't act, Mother, then I implore you... to lend me your Plantain Fan to save Father."
Princess Rakshasi (Zhu Bajie),救，火焰山这场劫，一柄扇子，怕是救不了,Save him? Or this mountain from its doom? Both are beyond this fan.
Pingping (Red Boy),母亲！母亲，女儿求求你了！,"Mother, please... I am begging you!"
Pingping (Red Boy),再这么拖下去，哥哥的凶性一发，父王怕是必死无疑！,Father's life hangs on a thread. A thread which brother could cut short any moment!
Princess Rakshasi (Zhu Bajie),你是当真关心那放荡老牛？,Since when did you start caring for that old bull?
Princess Rakshasi (Zhu Bajie),别以为做娘的不知你那点小心思,Do not think you can hide your secret wish from me!
Princess Rakshasi (Zhu Bajie),难保不是盼望我们都气死了,"You wish you could rule this mountain with your brother,"
Princess Rakshasi (Zhu Bajie),好与你哥哥在这山中逍遥快活,once we are finished...
Pingping (Red Boy),母亲冤枉！,"That is not true, Mother..."
Pingping (Red Boy),若不是心忧父王安危，我何苦找到上仙一起来这里央求,"If that were my wish, why would l bring this Master here to help?"
Princess Rakshasi (Zhu Bajie),哼，狐狸精就是狐狸精,Hmph. Words from cunning foxes...
Princess Rakshasi (Zhu Bajie),我看你只想骗去芭蕉扇，做个人情献给孽儿,You just want to trade my fan for a smile on your brother's face.
Pingping (Red Boy),我……我是父王的亲生骨肉,"I... I owe my life to Father,"
Pingping (Red Boy),承蒙母亲不弃，才得以苟活至今,and to your kindness for taking me in.
Pingping (Red Boy),哥哥待我再好，又怎比得上双亲的天恩,Brother was good to me. But I would never betray my parents for him...
Princess Rakshasi (Zhu Bajie),扇子的事，我意已决,Say no more of the fan.
Princess Rakshasi (Zhu Bajie),当时多造的孽缘，如今不配自怜,We raised the boy. Guess this is what we deserve.
Princess Rakshasi (Zhu Bajie),反倒是你,But you...
Princess Rakshasi (Zhu Bajie),挑这个时候来，是何缘由？,Why are you here at this very moment?
Keeper of the Flaming Mountains,师姐,"Rakshasi,"
Keeper of the Flaming Mountains,这是你的家事,I'm not a part of your family.
Keeper of the Flaming Mountains,我一介外人，本不便置喙,And I'm aware I have no voice in this.
Keeper of the Flaming Mountains,但萍儿找到我说，天命人已经到了火焰山,But Ping told me the Destined One had arrived.
Princess Rakshasi (Zhu Bajie),天命天命，乖乖听老天命令,The Destined One who doesn't even know what he's destined for?
Princess Rakshasi (Zhu Bajie),几个老不死，名字起得倒怪传神的,Those old bastards must've pulled a muscle coming up with the name.
Keeper of the Flaming Mountains,他的真实来历，你我皆知,You and I both know who he truly is.
Keeper of the Flaming Mountains,届时……,When the time comes...
Keeper of the Flaming Mountains,你的儿女也好，丈夫也罢，连上这罗刹宝地,"Your children, your husband, and even this very palace."
Keeper of the Flaming Mountains,都难逃灰飞烟灭,could all turn to ashes.
Princess Rakshasi (Zhu Bajie),一颗身不由己的棋子，来了又有何惧？,What do l have to fear from a mere pawn?
Princess Rakshasi (Zhu Bajie),不说老牛与孩儿,He's no match for us.
Princess Rakshasi (Zhu Bajie),我那芭蕉扇，也不是吃素的,He can't even rival the power of my fan.
Keeper of the Flaming Mountains,他前脚得知身世，天命人后脚就到,"Once the truth is revealed, suddenly he is here."
Keeper of the Flaming Mountains,两事同时发生，师姐不觉得诡异吗？,"Do you not find it odd, such a twist of fate?"
Pingping (Red Boy),身世……？,The truth?
Pingping (Red Boy),什么身世？,The truth of what?
Pingping (Red Boy),你们在说谁？,Who are you talking about?
Keeper of the Flaming Mountains,我听闻剩余几个遗物，都已落入天命人之手,I heard the Destined One had obtained all the other relics.
Keeper of the Flaming Mountains,师姐，事已至此……,"Rakshasi, your situation is grave..."
Keeper of the Flaming Mountains,你还不明白吗？,Do you not see?
Keeper of the Flaming Mountains,是谁让他回来的？,Who mandated his return?
Keeper of the Flaming Mountains,那些东西，当真是修炼至宝？,Were those relics really bestowed for your good?
Keeper of the Flaming Mountains,只怕我们一个个自作聪明,"Perhaps, amidst these schemes and plots,"
Keeper of the Flaming Mountains,到头来反倒成了助他还魂的祭品,we've unwittingly become stepping stones for his rebirth.
Keeper of the Flaming Mountains,我不在意别人死活,"For others, I care not."
Keeper of the Flaming Mountains,我……我从来……,All along...
Keeper of the Flaming Mountains,都只在意你一个人,you are all I care for.
Keeper of the Flaming Mountains,不如,"I say,"
Keeper of the Flaming Mountains,我们两个一起走罢！,we should leave together!
Keeper of the Flaming Mountains,当年在上面我如何待你,"I vow to treasure you dearly,"
Keeper of the Flaming Mountains,今后也会如何待你！,just like when we’re up there.
Princess Rakshasi (Zhu Bajie),师弟……,I never thought...
Princess Rakshasi (Zhu Bajie),到了这种时候，竟只有你，还挂念着我,That one day you'd be the only one l can rely on.
Princess Rakshasi (Zhu Bajie),我……我一下没了主意,I am overwhelmed...
Princess Rakshasi (Zhu Bajie),来，坐上来,"Come sit with me,"
Princess Rakshasi (Zhu Bajie),与我细说,and tell me what to do.
Pingping (Red Boy),母亲，不可信他,"Don't let him, Mother! "
Pingping (Red Boy),这厮面露奸相，定有轻薄之意！,Don't you see? He is taking advantage of you!
Pingping (Red Boy),淫贼！,You lecher!
Pingping (Red Boy),我是白瞎了请你救人，你竟趁人之危,"I called for your help, not your treachery."
Pingping (Red Boy),你，你敢！,How... how dare you!
Keeper of the Flaming Mountains,长辈们说话,A child of a concubine...
Keeper of the Flaming Mountains,轮不到一个庶女弄舌,should know better manners.
Keeper of the Flaming Mountains,我与你母亲相识的时候,"When I first crossed paths with her,"
Keeper of the Flaming Mountains,你那父王，大约还套着牛梭子,"your bull of a father was no more than livestock,"
Keeper of the Flaming Mountains,不知在哪里犁地呢,munching on a patch of grass.
Pingping (Red Boy),淫贼！下贱！母亲别信他！,"Have you no shame? Mother, don't be fooled!"
Keeper of the Flaming Mountains,你啊，一边清静清静！,Enough of your endless prattle!
Keeper of the Flaming Mountains,这才好些,Now that's better.
Keeper of the Flaming Mountains,师姐，下界之后，小仙……,"Rakshasi, have we not been this close..."
Keeper of the Flaming Mountains,还从没离你这么近过,since our time in Tushita Palace?
Princess Rakshasi (Zhu Bajie),师弟，这些年其实我……,"Well yes...I do miss the old days, too..."
Princess Rakshasi (Zhu Bajie),也很怀念宫里的日子,We were so happy back then...
Keeper of the Flaming Mountains,这是何物,What in the blazes?!
Zhu Bajie,猪蹄啊，还能是什么？,No tricks here—it's just my hoof.
Zhu Bajie,再不现形，你要扑上来啃一口了！,You deserve to know before we kiss!
Keeper of the Flaming Mountains,气杀我也，气杀我也！,You'll live to repent this!
Keeper of the Flaming Mountains,好个腌臜东西,Filthy lowlife!
Keeper of the Flaming Mountains,竟敢化作师姐模样诈我！,You dare to take her form and beguile me?
Zhu Bajie,老朋友，见甚么外呢？,"My old friend, wasn't it fun?"
Zhu Bajie,咱俩携手剿灭狐狸洞的日子，我老猪也想念得紧呢,"Have we not been this close, since our carnage in the fox den?"
Keeper of the Flaming Mountains,狡猾东西,You abhorrent fraud!
Keeper of the Flaming Mountains,亏我一片诚心,My candid words...
Keeper of the Flaming Mountains,竟着了你这恶心手段！,were wasted on your foul ears!
Zhu Bajie,扯什么淡！,Candid my hoof!
Zhu Bajie,这一路的阴兵鬼将，以为老猪看不出是谁的杰作？,Your revenants are everywhere. I thought you'd have better lies.
Zhu Bajie,哟，贤侄，你也到了？,"Quick on your heels, huh?"
